CATEGORY  , ITEM               , UNIT COST (AUD), QUANTITY , TOTAL COST (AUD), SOURCE                                                                              , NOTE
COMPONENTS, G6K-2P-Y 5V        , 8.69           , 2        , 17.38           , https://www.aliexpress.com/item/1005009142943180.html                               , 
          , 1N4148             , 2.66           , 1        , 2.66            , https://www.aliexpress.com/item/1005006323468521.html                               , 
          , BC547              , 3.12           , 1        , 3.12            , https://www.aliexpress.com/item/1005003391155385.html                               , 
          , 10uF Capacitors    , 6.35           , 1        , 6.35            , https://www.aliexpress.com/item/1005005000107445.html                               , 
          , 0.1uF/100nF        , 4.43           , 1        , 4.43            , https://www.aliexpress.com/item/1005005000107445.html                               , 
          , 1nF Capacitors     , 4.79           , 1        , 4.79            , https://www.aliexpress.com/item/1005005000107445.html                               , 
          , 10k Resistor       , 2.60           , 1        , 2.60            , https://www.aliexpress.com/item/1005007792750235.html                               , 
          , 510 Resistor       , 2.35           , 1        , 2.35            , https://www.aliexpress.com/item/1005007792750235.html                               , 
          , 1 Resistor         , 2.21           , 1        , 2.21            , https://www.aliexpress.com/item/1005007792750235.html                               , 
          , 5.1k Resistor      , 2.29           , 1        , 2.29            , https://www.aliexpress.com/item/1005007792750235.html                               , 
          , 1M Resistor        , 2.32           , 1        , 2.32            , https://www.aliexpress.com/item/1005007792750235.html                               , 
          , Display 128x128 I2C, 5.80           , 1        , 5.80            , https://www.aliexpress.com/item/4000049991220.html                                  , 
          , AMS1117-3.3        , 1.90           , 1        , 1.90            , https://www.aliexpress.com/item/1005005350284100.html                               , 
          , Banana Plugs       , 4.52           , 2        , 9.04            , https://www.aliexpress.com/item/1005007583869191.html                               , 
          , 3mm Plug           , 2.52           , 1        , 2.52            , https://www.aliexpress.com/item/4001063855295.html                                  , 
          , USB-C Connector    , 13.39          , 1        , 13.39           , https://www.aliexpress.com/item/1005009121256607.html                               , 
          , Pin Headers Female , 1.73           , 1        , 1.73            , https://www.aliexpress.com/item/1005007414089348.html                               , 
          , Push Button        , 3.39           , 1        , 3.39            , https://www.aliexpress.com/item/1005004254514071.html                               , 
          , 2P Switch          , 1.22           , 1        , 1.22            , https://au.mouser.com/ProductDetail/611-JS102011SAQN                                , 
          , 3P Switch          , 1.74           , 1        , 1.74            , https://au.mouser.com/ProductDetail/611-PCM13SMTR                                   , 
          , ESP32-C6-WROOM-1U  , 9.26           , 1        , 9.26            , https://au.mouser.com/ProductDetail/356-ESP32C6WROOM1UN4                            , 
          , PCB                , 46.61          , 1        , 46.61           , JLC                                                                                 , 
          , TOTAL              , 147.1 AUD      , 95.85 USD,                 ,                                                                                     , 
HARDWARE  , M4x20 Socket Head  , 10.25          , 1        , 10.25           , https://www.aimsindustrial.com.au/metric-socket-head-cap-screw-grade-12.9-high-grade, 
          , M2x10 Socket head  , 6.60           , 1        , 6.60            , https://www.aimsindustrial.com.au/m2-x-10-socket-head-cap-screw-plain-g12.9-box-of-1, 
          , TOTAL              , 16.85 AUD      , 10.98 USD,                 ,                                                                                     , 
MATERIALS , PLA 1kg            , N/A            , 1        , N/A             , Owned                                                                               , 
          , 3mm Sheet          , 2.99           , 1        , 2.99            , https://www.aliexpress.com/item/1005006578734639.html                               , 
          , TOTAL              , 2.99 AUD       , 1.95 USD ,                 ,                                                                                     , 
TOTAL     , 150.72 AUD         , 108.76 USD     ,          ,                 ,                                                                                     , 
