Designator,Mid X,Mid Y,Rotation,Layer
C3,65.8,-0.9,270.0,top
C6,7.5,-5.0,180.0,top
C7,7.5,-1.0,180.0,top
C8,24.0,-20.25,90.0,top
C9,24.0,-15.0,270.0,top
D1,10.0,-21.2,0.0,top
D2,4.85,-19.2,180.0,top
D3,67.6,-41.1,0.0,top
D4,16.5,-65.55,270.0,top
D5,62.8,-38.9,180.0,top
IC1,36.755,-22.44,0.0,top
J1,7.46,-30.25,270.0,top
J2,26.5,-64.0,0.0,top
J3,36.215,-7.5,270.0,top
J5,65.0,-30.0,90.0,top
K1,2.06,-37.75,270.0,top
K2,12.81,-37.75,90.0,top
K3,59.5,-22.5,90.0,top
K4,34.0,-69.15,0.0,top
K5,34.0,-58.34,180.0,top
K6,70.25,-22.5,90.0,top
P1,24.65,-0.495,180.0,top
Q1,15.17,-20.6,0.0,top
Q2,-0.37,-19.9,180.0,top
Q3,72.75,-40.36,0.0,top
Q4,16.1,-71.97,270.0,top
Q5,57.43,-39.6,180.0,top
R1,23.0,-25.5,270.0,top
R11,61.2,-0.8,270.0,top
R12,56.8,-4.9,0.0,top
R13,37.0,-36.4,270.0,top
R14,34.7,-36.4,90.0,top
R15,39.3,-36.4,90.0,top
R16,50.9,-22.6,90.0,top
R17,21.1,-37.9,270.0,top
R2,19.9,-25.5,270.0,top
R3,50.3,-42.7,0.0,top
R4,46.1,-36.4,90.0,top
R5,48.4,-36.4,90.0,top
R6,16.5,-59.0,270.0,top
R7,43.8,-36.4,90.0,top
R8,51.9,-36.4,270.0,top
R9,27.25,-10.0,0.0,top
SW1,47.65,1.0,180.0,top
SW2,36.5,0.87,180.0,top
SW3,69.0,-59.0,180.0,top
U2,14.25,-3.5,0.0,top
